A Thousand Furs [Special] - Touched by the Gods, p. 71
Circle Kick [General] - Sword and Fist, p. 5
Claws/Fangs [Infernal] - Evil, p. 24
Cleave [General] - Player's Handbook, p. 80
Close-Order Fighting [Special] - Dragon Lords of Melnibone, p. 63
Close-Quarters Fighting [General] - Sword and Fist, p. 5
Cloud Running [Special] - Creature Collection, p. 72
Combat Agility [General] - Dragon Magazine #284, p. 123
Combat Casting [General] - Player's Handbook, p. 80
Combat Manifestation [Psionic] - Psionics Handbook, p. 24
Combat Reflexes [General] - Player's Handbook, p. 80
Combat Sense [General] - The Taan, p. 81
Conjure Mastery [Eldritch] - The Book of Eldritch Might, p. 4
Construct Familiar [General] - Dragon Magazine #280, p. 62
Controlled Breathing [General] - Dungeons, p. 81
Cool Head [General] - Oriental Adventures, p. 61
Cooperative Spell [Metamagic] - Tome and Blood, p. 39
Cooperative Spellcasting [Metamagic] - Sovereign Stone Campaign Sourcebook, p. 60
Cosmopolitan [General] - Forgotten Realms Campaign Setting, p. 34
Courteous Magocracy [General] - Forgotten Realms Campaign Setting, p. 34
Crab Walk [Fighting Stance] - Mystic Warriors, p. 112
Craft Anaema Tool [Item Creation] - Mythic Races, p. 15
Craft Crystal Capacitor [Item Creation] - Psionics Handbook, p. 24
Craft Crystal Weapon [Item Creation] - Oriental Adventures, p. 61
Craft Dorje [Item Creation] - Psionics Handbook, p. 24
Craft Kirpan [Item Creation] - Mystic Warriors, p. 112
Craft Magic Arms and Armor [Item Creation] - Player's Handbook, p. 81
Craft Magic Trap [Item Creation] - Traps & Treachery, p. 34
Craft Mystic Talisman [Item Creation] - Mystic Warriors, p. 112
Craft Named Weapon [Item Creation] - Mystic Warriors, p. 112
Craft Psionic Arms and Armor [Item Creation] - Psionics Handbook, p. 24
Craft Rod [Item Creation] - Player's Handbook, p. 81
Craft Staff [Item Creation] - Player's Handbook, p. 81
Craft Talisman [Item Creation] - Oriental Adventures, p. 61
Craft Universal Item [Item Creation] - Psionics Handbook, p. 24
Craft Vitus Amulet [Item Creation] - Mystic Warriors, p. 113
Craft Wand [Item Creation] - Player's Handbook, p. 81
Craft Wondrous Item [Item Creation] - Player's Handbook, p. 81
Create Graft [Item Creation] - Touched by the Gods, p. 26
Create Portal [Item Creation] - Forgotten Realms Campaign Setting, p. 34
Dance of the Dirk [Fighting Stance] - Mystic Warriors, p. 113
Darkvision [Infernal] - Evil, p. 24
Dash [General] - Song and Silence, p. 38
Daylight Adaptation [General] - Forgotten Realms Campaign Setting, p. 34
Dead Shot [General] - Sovereign Stone Campaign Sourcebook, p. 60
Death Blow [General] - Sword and Fist, p. 6
Deep Impact [Psionic] - Psionics Handbook, p. 25
Defensive Strike [General] - Oriental Adventures, p. 62
Defensive Throw [General] - Oriental Adventures, p. 62
Deflect Arrows [General] - Player's Handbook, p. 81
Deflect Ranged Attack [General] - Dragon Magazine #274, p. 60
Delay Power [Metapsionic] - Psionics Handbook, p. 25
Delay Spell [Metamagic] - Tome and Blood, p. 39
Dirty Fighting [General] - Sword and Fist, p. 6
Disarm Mind [Psionic] - Psionics Handbook, p. 25
Discipline [General] - Forgotten Realms Campaign Setting, p. 34
Discipline [Ancestor] - Oriental Adventures, p. 62
Disguise Spell [Metamagic] - Song and Silence, p. 38
Dismiss Demon [Special] - Demonlogy, p. 41
Divine Cleansing [Divine] - Defenders of the Faith, p. 19
Divine Might [Divine] - Defenders of the Faith, p. 19
Divine Perception [General] - Touched by the Gods, p. 34
Divine Resistance [Divine] - Defenders of the Faith, p. 19
Divine Shield [Divine] - Defenders of the Faith, p. 19
Divine Vengeance [Divine] - Defenders of the Faith, p. 20
Divine Vigor [Divine] - Defenders of the Faith, p. 20
Dodge [General] - Player's Handbook, p. 81
Dreamspeaking [General] - The Book of Eldritch Might, p. 4
Drug Tolerance [General] - Caravan of Hope, p. 27
Dual Strike [General] - Sword and Fist, p. 6
Eagle Claw Attack [General] - Sword and Fist, p. 6
Earth's Embrace [General] - Oriental Adventures, p. 62
Education [General] - Forgotten Realms Campaign Setting, p. 34
Eidetic Memory [General] - Dungeons, p. 81
Element Resistance [Infernal] - Evil, p. 24
Empathy [General] - Traps & Treachery, p. 35
Empower Spell [Metamagic] - Player's Handbook, p. 82
Empower Turning [Special] - Defenders of the Faith, p. 20
Enchant Stone [Item Creation] - The Taan, p. 81
Encode Stone [Item Creation] - Psionics Handbook, p. 25
Endurance [General] - Player's Handbook, p. 82
Energy Admixture [Metamagic] - Tome and Blood, p. 39
Energy of Life [Special] - Creature Collection, p. 72
Energy Substitution [Metamagic] - Tome and Blood, p. 40
Enlarge Power [Metapsionic] - Psionics Handbook, p. 25
Enlarge Spell [Metamagic] - Player's Handbook, p. 82
Enspell Familiar [General] - Dragon Magazine #280, p. 62
Eschew Materials [Metamagic] - Tome and Blood, p. 40
Etch Object Rune [Item Creation] - The Book of Eldritch Might, p. 4
Ethran [General] - Forgotten Realms Campaign Setting, p. 34
Exotic Weapon Proficiency [General] - Player's Handbook, p. 82
Expert Tactician [General] - Song and Silence, p. 38
Expertise [General] - Player's Handbook, p. 82
Extend Power [Metapsionic] - Psionics Handbook, p. 25
Extend Spell [Metamagic] - Player's Handbook, p. 82
Extra Familiar [General] - Dragon Magazine #280, p. 62
Extra Music [General] - Song and Silence, p. 39
Extra Power [Psionic] - Dragon Magazine #287, p. 55
Extra Slot [General] - Tome and Blood, p. 40
Extra Smiting [Special] - Defenders of the Faith, p. 20
Extra Spell [General] - Tome and Blood, p. 40
Extra Stunning Attacks [General] - Sword and Fist, p. 6
Extra Turning [Special] - Player's Handbook, p. 82 (rules: pp. 32, 42)
Eye for Detail [General] - Traps & Treachery, p. 35
Eyes in the Back of Your Head [General] - Sword and Fist, p. 6
Eyes of Calaam [Special] - Touched by the Gods, p. 59
Falling Star Strike [General] - Oriental Adventures, p. 62
Far Shot [General] - Player's Handbook, p. 82
Fast Armor [General] - Dragon Magazine #284, p. 123
Fast Rider [General] - Dragon Magazine #285, p. 98
Fast Talker [General] - Traps & Treachery, p. 35
Fearsome and Fearless [Ancestor] - Oriental Adventures, p. 62
Feign Weakness [General] - Sword and Fist, p. 6
Fell Shot [Psionic] - Psionics Handbook, p. 25
Firearms Drill [General] - Dragon Magazine d20 Special/Annual #6, p. 70
Fists of Calaam [Special] - Touched by the Gods, p. 59
Fists of Iron [General] - Sword and Fist, p. 6
Fleet of Foot [General] - Song and Silence, p. 39
Flick of the Wrist [General] - Song and Silence, p. 39
Flight [Infernal] - Evil, p. 25
Flying Kick [General] -Oriental Adventures, p. 62
Foe Hunter [Fighter, General] - Forgotten Realms Campaign Setting, p. 34
Forester [General] - Forgotten Realms Campaign Setting, p. 35
Forge Ring [Item Creation] - Player's Handbook, p. 82
Fortify Power [Metapsionic] - Dragon Magazine #287, p. 55
Freezing the Lifeblood [General] - Oriental Adventures, p. 62
Gifted General [Ancestor] - Oriental Adventures, p. 62
Golden Tongue [General] - Dungeons, p. 81
Grace Under Pressure [General] - Dungeons, p. 81
Grappling Block [General] - Oriental Adventures, p. 63
Grasshopper Strike [General] - Dragon Magazine #279, p. 63
Great Cleave [General] - Player's Handbook, p. 82
Great Crafter [Ancestor] - Oriental Adventures, p. 63
Great Diplomat [Ancestor] - Oriental Adventures, p. 63
Great Fortitude [General] - Player's Handbook, p. 82
Great Ki Shout [General] - Oriental Adventures, p. 63
Great Stamina [Ancestor] - Oriental Adventures, p. 63
Great Sunder [Psionic] - Psionics Handbook, p. 26
Great Teamwork [Ancestor] - Oriental Adventures, p. 63
Greater Power Penetration [Psionic] - Psionics Handbook, p. 26
Greater Psionic Focus [Psionic] - Psionics Handbook, p. 26
Greater Spell Focus [General] - Tome and Blood, p. 40
Greater Spell Penetration [General] - Tome and Blood, p. 40
Green Ear [General] - Song and Silence, p. 39
Green Viper Style [Fighting Stance] - Mystic Warriors, p. 113
Hammer Fist [General] - Dragon Magazine #279, p. 63
Hamstring [General] - Song and Silence, p. 39
Heavy Scarring [General] - The Taan, p. 82
Heighten Power [Metapsionic] - Psionics Handbook, p. 26
Heighten Spell [Metamagic] - Player's Handbook, p. 82
Heighten Turning [Special] - Defenders of the Faith, p. 20
Heroic Destiny [Special] - Touched by the Gods, p. 109
Hide Power [Metapsionic] - Psionics Handbook, p. 26
Hide Spell [Metamagic] - Relics and Rituals, p. 25
Hill Fighter [General] - Dragon Magazine #285, p. 98
Hold the Line [General] - Sword and Fist, p. 7
Honest Merchant [Ancestor] - Oriental Adventures, p. 63
Horse Nomad [Fighter, General] - Forgotten Realms Campaign Setting, p. 35
Iaijutsu Master [Ancestor] - Oriental Adventures, p. 63
Immortality [Infernal] - Evil, p. 25
Immunity [Infernal] - Evil, p. 25
Imp [Infernal] - Evil, p. 25
Improved Aid [Ancestor] - Oriental Adventures, p. 63
Improved Alertness [General] - Dungeons, p. 82
Improved Bull Rush [General] - Player's Handbook, p. 82
Improved Counterspell [General] - Forgotten Realms Campaign Setting, p. 35
Improved Critical [General] - Player's Handbook, p. 82
Improved Disarm [General] - Player's Handbook, p. 83
Improved Endurance [General] - Dungeons, p. 82
Improved Familiar [General] - Tome and Blood, p. 40
Improved Feint [General] - Evil, p. 59
Improved Flight [Infernal] - Evil, p. 25
Improved Grab [General] - Mythic Races, p. 77
Improved Grapple [General] - Oriental Adventures, p. 63
Improved Initiative [General] - Player's Handbook, p. 83
Improved Knockout Attack [General] - Traps & Treachery, p. 35
Improved Low Blow [General] - Dragon Magazine #285, p. 33
Improved Mounted Archery [General] - Dragon Magazine #285, p. 99
Improved Mounted Combat [General] - Sovereign Stone Campaign Sourcebook, p. 62
Improved Multiweapon Fighting [General] - Mythic Races, p. 137
Improved Overrun [General] - Sword and Fist, p. 7
Improved Psicrystal [Psionic] - Psionics Handbook, p. 26
Improved Ranged Sneak Attack [General] - Traps & Treachery, p. 36
Improved Rapid Shot [General] - Dragon Magazine #275, p. 41
Improved Regeneration [Infernal] - Evil, p. 25
Improved Shield Bash [General] - Defenders of the Faith, p. 20
Improved Sneak Attack [General] - Traps & Treachery, p. 36
Improved Sunder [General] - Sword and Fist, p. 7
Improved Trample [Kaiju] - Dragon Magazine #289, p. 70
Improved Trip [General] - Player's Handbook, p. 83
Improved Two-Weapon Fighting [General] - Player's Handbook, p. 83
Improved Unarmed Strike [General] - Player's Handbook, p. 83
Improvise Thieves' Tools [General] - Traps & Treachery, p. 37
Improvised Weapon [General] - Sovereign Stone Campaign Sourcebook, p. 62
Increased Carrying Capacity [General] - Dungeons, p. 82
Increased Movement [Infernal] - Evil, p. 26
Inertial Armor [Psionic] - Psionics Handbook, p. 26
Infernal Pact [Infernal] - Evil, p. 26
Infernal Soul [Infernal] - Evil, p. 26
Information Exchange [Special] - Touched by the Gods, p. 7
Innate Spell [General] - Tome and Blood, p. 41
Inner Peace [Mystic Warrior] - Mystic Warriors, p. 113
Inner Strength [Psionic] - Psionics Handbook, p. 26
Inscribe Magical Tattoo [Item Creation] - Relics and Rituals, p. 198
Inscribe Rune [Item Creation] - Forgotten Realms Campaign Setting, p. 36
Insidious Magic [Metamagic] - Forgotten Realms Campaign Setting, p. 36
Invisibility [Infernal] - Evil, p. 27
Ironbone [Special] - Creature Collection, p. 71
Ironskin [Special] - Creature Collection, p. 72
Iron Will [General] - Player's Handbook, p. 83
Item Image [Eldritch] - The Book of Eldritch Might, p. 4
Jack of All Trades [General] - Song and Silence, p. 40
Kami's Intuition [Ancestor] - Oriental Adventures, p. 63
Karmic Strike [General] - Oriental Adventures, p. 63
Karmic Twin [Ancestor] - Oriental Adventures, p. 64
Keen Intellect [Ancestor] - Oriental Adventures, p. 64
Keen Vision [General] - Traps & Treachery, p. 37
Ki Projection [Special] - Creature Collection, p. 72
Ki Shout [General] - Oriental Adventures, p. 64
Knock-Down [General] - Sword and Fist, p. 7
Knockout Attack [General] - Traps & Treachery, p. 37
Knowledgeable [General] - Dungeons, p. 82
Lace Spell: Elemental Energies [Eldritch] - The Book of Eldritch Might, p. 5
Lace Spell: Enemy Bane [Eldritch] - The Book of Eldritch Might, p. 5
Lace Spell: Holy/Unholy [Eldritch] - The Book of Eldritch Might, p. 5
Lace Spell: Lawful/Chaotic [Eldritch] - The Book of Eldritch Might, p. 5
Lead Missile Fire [General] - Evil, p. 59
Leadership [General] - Player's Handbook, p. 83 (rules: Dungeon Master's Guide, p. 45)
Lightning Fists [General] - Sword and Fist, p. 7
Lightning Reflexes [General] - Player's Handbook, p. 83
Light Sleeper [General] - Dungeons, p. 82
Lingering Song [General] - Song and Silence, p. 40
Lion Spy [Ancestor] - Oriental Adventures, p. 64
Lion's Rage [Mystic Warrior Stance] - Mystic Warriors, p. 113
Living Shield [General] - Evil, p. 58
Low Blow [General] - Dragon Magazine #285, p. 33
Luck of Heroes [General] - Forgotten Realms Campaign Setting, p. 36
Luck of Heroes [Ancestor] - Oriental Adventures, p. 64
Magekiss [Metamagic] - Traps & Treachery, p. 22
Magic in the Blood [Ancestor] - Oriental Adventures, p. 64
Magic Item [Infernal] - Evil, p. 27
Magical Artisan [General] - Forgotten Realms Campaign Setting, p. 36
Magical Artisan [Ancestor] - Oriental Adventures, p. 64
Magical Talent [General] - The Book of Eldritch Might, p. 6
Magical Training [General] - Forgotten Realms Campaign Setting, p. 36
Magistrate's Mind [Ancestor] - Oriental Adventures, p. 64
Mantis Leap [General] - Sword and Fist, p. 7
Manufacture Magic Poison [Item Creation] - The Book of Eldritch Might, p. 6
Many Masks [Ancestor] - Oriental Adventures, p. 64
Martial Weapon Proficiency [General] - Player's Handbook, p. 83
Master Dorje [Metapsionic] - Psionics Handbook, p. 26
Maximize Power [Metapsionic] - Psionics Handbook, p. 26
Maximize Spell [Metamagic] - Player's Handbook, p. 83
Mechanical Aptitude [General] - Traps & Treachery, p. 37
Mental Adversary [Psionic] - Psionics Handbook, p. 27
Mental Leap [Psionic] - Psionics Handbook, p. 27
Mercantile Background [General] - Forgotten Realms Campaign Setting, p. 36
Metacreative [Psionic] - Psionics Handbook, p. 27
Militia [General] - Forgotten Realms Campaign Setting, p. 36
Mind Blind [Psionic] - Dragon Magazine #287, p. 55
Mind Over Body [General] - Forgotten Realms Campaign Setting, p. 37
Mind Trap [Psionic] - Psionics Handbook, p. 27
Mirror Sight [Eldritch] - The Book of Eldritch Might, p. 6
Mobility [General] - Player's Handbook, p. 83
Monkey Grip [General] - Sword and Fist, p. 7
Mounted Archery [General] - Player's Handbook, p. 83
Mounted Combat [General] - Player's Handbook, p. 83
Moving Meditation [Special] - Creature Collection, p. 72
Multiattack (Taan version) [General] - The Taan, p. 83
Multicultural [General] - Song and Silence, p. 40
Multiple Limbs [Infernal] - Evil, p. 27
Multiweapon Fighting (Legends & Lairs version) [General] - Mythic Races, p. 137
Natural Weaponry [General] - The Taan, p. 83
Nature Sense [Special] - Touched by the Gods, p. 71
Nerve Strikes [Special] - Creature Collection, p. 72
Nobody's Fool [General] - Dragon Magazine #285, p. 33
Obscure Lore [General] - Song and Silence, p. 40
Off-Hand Parry [General] - Sword and Fist, p. 7
Off-Handed [General] - Evil, p. 59
Oni's Bane [Ancestor] - Oriental Adventures, p. 64
Pain Touch [General] - Sword and Fist, p. 8
Pebble Underfoot [General] - Dragon Magazine #279, p. 63
Penetrate Hardness [Kaiju] - Dragon Magazine #289, p. 70
Perfect Memory [General] - Traps & Treachery, p. 37
Permanent Control [Special] - Demonology, p. 41
Pernicious Magic [Metamagic] - Forgotten Realms Campaign Setting, p. 37
Persistent Power [Metapsionic] - Psionics Handbook, p. 27
Persistent Spell [Metamagic] - Tome and Blood, p. 42
Persuasive [General] - Song and Silence, p. 40
Pin Shield [General] - Sword and Fist, p. 8
Pinpoint Accuracy [General] - Sovereign Stone Campaign Sourcebook, p. 62
Point Blank Shot [General] - Player's Handbook, p. 84
Poison Blood [Infernal] - Evil, p. 28
Poison Immunity [General] - Traps & Treachery, p. 37
Pounce [General] - Mythic Races, p. 77
Pounce & Strike [General] - Dragon Lords of Melnibone, p. 50
Power Attack [General] - Player's Handbook, p. 84
Power Attack--Iaijutsu [Ancestor] - Oriental Adventures, p. 64
Power Attack--Shadowlands [Ancestor] - Oriental Adventures, p. 65
Power Lunge [General] - Sword and Fist, p. 8
Power Penetration [Psionic] - Psionics Handbook, p. 27
Power Specialization [Psionic] - Dragon Magazine #287, p. 56
Power Touch [Psionic] - Psionics Handbook, p. 27
Powerful Voice [Ancestor] - Oriental Adventures, p. 65
Precise Shot [General] - Player's Handbook, p. 84
Primal Shout [General] - The Taan, p. 83
Prone Attack [General] - Sword and Fist, p. 8
Psionic Body [Psionic] - Psionics Handbook, p. 27
Psionic Charge [Psionic] - Psionics Handbook, p. 28
Psionic Defense [Psionic] - Dragon Magazine #287, p. 54
Psionic Dodge [Psionic] - Psionics Handbook, p. 28
Psionic Energy Admixture [Metapsionic] - Dragon Magazine #287, p. 55
Psionic Energy Substitution [Metapsionic] - Dragon Magazine #287, p. 54
Psionic Fist [Psionic] - Psionics Handbook, p. 28
Psionic Focus [Psionic] - Psionics Handbook, p. 28
Psionic Metabolism [Psionic] - Psionics Handbook, p. 28
Psionic Shot [Psionic] - Psionics Handbook, p. 28
Psionic Weapon [Psionic] - Psionics Handbook, p. 28
Psychic Bastion [Psionic] - Psionics Handbook, p. 28
Psychic Inquisitor [Psionic] - Psionics Handbook, p. 29
Psychoanalyst [Psionic] - Psionics Handbook, p. 29
Purifying Light [General] - Mythic Races, p. 69
Pyro [General] - Song and Silence, p. 40
Quick Draw [General] - Player's Handbook, p. 84
Quicken Power [Metapsionic] - Psionics Handbook, p. 29
Quicken Spell [Metamagic] - Player's Handbook, p. 84
Quicken Summoning [Special] - Demonology, p. 41
Quicken Turning [Special] - Defenders of the Faith, p. 20
Quicker Than the Eye [General] - Song and Silence, p. 40
Quickstrike [General] - Traps & Treachery, p. 37
Rake [General] - Mythic Races, p. 77
Raking Nails [General] - Mystic Warriors, p. 113
Ranged Disarm [General] - Dragon Magazine #274, p. 60
Ranged Pin [General] - Dragon Magazine #274, p. 60
Ranged Sunder [General] - Dragon Magazine #274, p. 60
Rapid Metabolism [Psionic] - Psionics Handbook, p. 29
Rapid Reload [General] - Sword and Fist, p. 9
Rapid Shot [General] - Player's Handbook, p. 84
Ray Burst [Metamagic] - Dragon Magazine Annual #5, p. 26
Ray Coning [Metamagic] - Dragon Magazine Annual #5, p. 26
Ray Extension [Metamagic] - Dragon Magazine Annual #5, p. 26
Ray Focus [General] - Dragon Magazine Annual #5, p. 26
Ray Splitting [Metamagic] - Dragon Magazine Annual #5, p. 26
Reactive Counterspell [General] - Magic of Faerun, p. 22
Reach Power [Metapsionic] - Dragon Magazine #287, p. 55
Reach Spell [Metamagic] - Defenders of the Faith, p. 20
Reckless Offensive [General] - Enemies and Allies, p. 41
Recognize Omen [General] - Sovereign Stone Campaign Sourcebook, p. 62
Redirect Attacks [General] - Evil, p. 59
Regeneration [Infernal] - Evil, p. 28
Remain Conscious [General] - Sword and Fist, p. 9
Repeat Power [Metapsionic] - Dragon Magazine #287, p. 56
Repeat Spell [Metamagic] - Tome and Blood, p. 41
Requiem [General] - Song and Silence, p. 40
Resculpt Mind [Psionic] - Dragon Magazine #287, p. 56
Resist Poison [General] - Forgotten Realms Campaign Setting, p. 37
Resist Poison [Ancestor] - Oriental Adventures, p. 65
Resist Taint [Ancestor] - Oriental Adventures, p. 65
Return Shot [Psionic] - Psionics Handbook, p. 29
Ride-By-Attack [General] - Player's Handbook, p. 84
Rot [Infernal] - Evil, p. 28
Roundabout Kick [General] - Oriental Adventures, p. 65
Run [General] - Player's Handbook, p. 84
Sacred Spell [Metamagic] - Defenders of the Faith, p. 20
Saddleback [Fighter, General] - Forgotten Realms Campaign Setting, p. 37
Saddleback [Ancestor] - Oriental Adventures, p. 65
Sanctum Spell [Metamagic] - Tome and Blood, p. 41
Scent [General] - Dungeon Master's Guide, p. 81 (variant rule)
Scholar of Nature [Ancestor] - Oriental Adventures, p. 65
Scribe Scroll [Item Creation] - Player's Handbook, p. 84
Scribe Tattoo [Item Creation] - Psionics Handbook, p. 29
Sculpt Power [Metapsionic] - Dragon Magazine #287, p. 56
Sculpt Spell [Metamagic] - Tome and Blood, p. 42
Sea Legs [Ancestor] - Oriental Adventures, p. 65
Second Wind [General] - Sovereign Stone Campaign Sourcebook, p. 63
Set Spear [General] - Dragon Lords of Melnibone, p. 63
Shadow [General] - Song and Silence, p. 40
Shadow (Legends & Lairs version) [General] - Traps & Treachery, p. 37
Shadow Weave Magic [General] - Forgotten Realms Campaign Setting, p. 37
Shapechange [Infernal] - Evil, p. 27
Shared Spellcasting [Metamagic] - Sovereign Stone Campaign Sourcebook, p. 63
Sharp-Shooting [General] - Sword and Fist, p. 9
Shield Charge [General] - Defenders of the Faith, p. 20
Shield Expert [General] - Sword and Fist, p. 9
Shield Proficiency [General] - Player's Handbook, p. 85
Shot on the Run [General] - Player's Handbook, p. 85
Side Step [General] - Mystic Warriors, p. 113
Signature Skill [General] - Traps & Treachery, p. 38
Signature Spell [General] - Forgotten Realms Campaign Setting, p. 37
Silent Spell [Metamagic] - Player's Handbook, p. 85
Silver Palm [General] - Forgotten Realms Campaign Setting, p. 37
Silver Tongue [Ancestor] - Oriental Adventures, p. 65
Simple Weapon Proficiency [General] - Player's Handbook, p. 85
Skill Focus [General] - Player's Handbook, p. 85
Smooth Talk [General] - Forgotten Realms Campaign Setting, p. 37
Smooth Talk [Ancestor] - Oriental Adventures, p. 66
Snake Blood [General] - Forgotten Realms Campaign Setting, p. 38
Snatch Arrows [General] - Sword and Fist, p. 9
Snatch Weapon [General] - Song and Silence, p. 40
Soul of Honor [Ancestor] - Oriental Adventures, p. 66
Soul of Loyalty [Ancestor] - Oriental Adventures, p. 66
Soul of Sincerity [Ancestor] - Oriental Adventures, p. 66
Speed of Thought [Psionic] - Psionics Handbook, p. 29
Spell Focus [General] - Player's Handbook, p. 85
Spell Girding [General] - Magic of Faerun, p. 22
Spell Mastery [Special] - Player's Handbook, p. 85 (rules: p. 54)
Spell Penetration [General] - Player's Handbook, p. 85
Spell Power [Ancestor] - Oriental Adventures, p. 66
Spell Specialization [General] - Tome and Blood, p. 42
Spell Thematics [General] - Magic of Faerun, p. 22
Spellcaster Support [Ancestor] - Oriental Adventures, p. 66
Spellcasting Prodigy [General] - Forgotten Realms Campaign Setting, p. 38
Spellfire Wielder [General] - Magic of Faerun, p. 23
Spirited Charge [General] - Player's Handbook, p. 85
Split Psionic Ray [Metapsionic] - Dragon Magazine #287, p. 56
Split Ray [Metamagic] - Tome and Blood, p. 42
Spook Animals [Special] - Dragon Magazine d20 Special/Annual #6, p. 65
Spring Attack [General] - Player's Handbook, p. 85
Staggering Blow [General] - Dragon Magazine #279, p. 63
Stand Still [Psionic] - Psionics Handbook, p. 29
Stare-Down [General] - Scrollworks #11, p. 5
Stealth [General] - Traps & Treachery, p. 39
Stealthy [General] - Forgotten Realms Campaign Setting, p. 38
Still Spell [Metamagic] - Player's Handbook, p. 85
Stoic Composure [General] - Dragon Magazine #284, p. 123
Street Smart [General] - Forgotten Realms Campaign Setting, p. 38
Strength of the Charger [Ancestor] - Oriental Adventures, p. 66
Strength of the Crab [Ancestor] - Oriental Adventures, p. 66
Strength of Personality [Special] - Demonology, p. 41
Strong Soul [General] - Forgotten Realms Campaign Setting, p. 38
Strong Soul [Ancestor] - Oriental Adventures, p. 66
Stunning Fist [General] - Player's Handbook, p. 85
Stunning Roar [Kaiju] - Dragon Magazine #289, p. 70
Subdual Substitution [Metamagic] - Tome and Blood, p. 42
Subduing Strike [General] - Sovereign Stone Campaign Sourcebook, p. 63
Subsonics [General] - Song and Silence, p. 40
Subtle Charm [Special] - Touched by the Gods, p. 71
Sunder [General] - Player's Handbook, p. 85
Superior Expertise [General] - Oriental Adventures, p. 66
Survival Instincts [General] - The Taan, p. 83
Survivor [General] - Forgotten Realms Campaign Setting, p. 38
Swarmfighting [General] - Dragon Magazine #285, p. 33
Swift Twist Glance [General] - Mystic Warriors, p. 113
Tail Attack [Special] - Dragon Magazine d20 Special/Annual #6, p. 61
Talented [Psionic] - Psionics Handbook, p. 30
Tattoo Focus [Special] - Forgotten Realms Campaign Setting, p. 38
Taut Tug [General] - Mystic Warriors, p. 113
Ten Animal Style [Special] - Creature Collection, p. 72
Tenacious Magic [Metamagic] - Forgotten Realms Campaign Setting, p. 38
Thick Hide [General] - The Taan, p. 83
Thick Skin [General] - Dungeons, p. 82
Thrall Master [Special] - Touched by the Gods, p. 71
Throw Anything [General] - Sword and Fist, p. 9
Thug [General] - Forgotten Realms Campaign Setting, p. 38
Thunder Twin [General] - Forgotten Realms Campaign Setting, p. 38
Thunderous Roar [Kaiju] - Dragon Magazine #289, p. 70
Tinker [General] - Dungeons, p. 82
Token Familiar [General] - Dragon Magazine #280, p. 62
